"id","seed","A1[SQ001]","A2[SQ001]","A2[SQ003]","A3[SQ001]","A3[SQ002]","A3[SQ003]","B1[SQ001]","B2","C1","C2[SQ001]","C3[SQ001]","C4[SQ001]","D1[SQ001]","D2[SQ001]","D3","D4","D5","D6[SQ001]","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","interviewtime"
"62","1273045268","2","2","1","3","3","1","2","1","2","2","6","1","3","4","100","50","3","1","2","22","3","2","3","","","1","1","7","4","718.82"
"63","1458509639","2","3","2","3","2","3","1","1","2","3","3","3","4","3","80","50","2","1","2","25","1","2","3","","","2","5","5","4","310.14"
"64","337104847","4","2","2","3","3","3","4","","2","4","4","2","5","4","50","0","3","3","3","50","8","3","4","","","1","","","2","806.91"
"65","1142644732","1","1","2","1","1","1","1","1","2","1","4","1","4","2","100","100","3","1","3","22","3","3","3","","","1","2","1","4","134.6"
"66","1541967136","1","2","2","1","1","1","1","1","2","1","5","1","4","1","100","50","1","1","1","22","3","2","3","","","2","1","7","4","1433.08"
"67","1648100978","2","2","4","3","3","4","5","","2","2","4","3","5","4","75","20","3","2","3","26","6","4","4","","","3","","","4","374.16"
"68","909351556","1","1","1","2","2","2","1","1","2","3","4","2","1","1","100","0","3","1","2","22","3","2","3","","","2","1","8","4","435.85"
"69","768158198","1","1","1","1","1","2","1","1","2","1","5","1","3","2","100","100","1","1","2","21","3","2","3","","","1","1","5","4","447.21"
"70","731343063","1","1","2","1","2","3","1","1","2","3","5","1","4","2","100","100","3","1","3","21","2","2","3","","","1","1","2","4","502.76"
"71","101137271","2","4","2","3","2","1","2","1","2","3","4","3","4","2","80","100","3","3","2","20","2","1","5","N","","1","","","4","265.29"
"72","223276518","1","1","2","1","1","2","3","","2","2","5","1","4","3","80","50","3","1","3","22","1","2","3","","","1","1","7","4","354.17"
"73","488545551","1","4","3","3","2","2","1","1","2","2","3","1","2","2","50","60","1","1","2","22","1","2","3","","","1","1","5","4","388.52"
"74","802512755","1","1","2","1","1","1","1","1","2","1","6","","4","2","100","90","3","1","3","22","2","2","3","","","1","1","2","4","353.22"
"75","961940376","1","4","4","3","1","2","4","","2","2","6","1","1","1","100","100","1","1","2","19","1","1","1","","","1","","","4","418.5"
"76","1829986183","1","1","1","2","1","1","1","2","2","1","5","1","1","2","100","100","3","1","3","22","5","2","3","","","1","1","5","4","303.78"
"77","789290929","1","1","2","4","2","5","1","1","2","2","4","2","4","2","90","100","3","2","3","22","1","2","3","","","1","1","7","4","357.84"
"78","1480946702","1","1","1","2","2","2","3","","2","2","5","3","3","2","100","100","3","3","3","22","2","2","3","","","2","1","6","4","668.79"
"79","1970412914","2","2","1","2","3","2","1","1","2","2","5","2","4","2","100","0","3","1","3","23","3","2","3","","","1","1","5","4","386.16"
"80","1653879906","1","3","2","3","3","2","1","1","2","3","4","2","5","4","100","50","3","2","3","25","5","2","3","","","2","1","9","4","380.2"
"81","843155999","2","1","2","1","3","2","4","","2","2","1","4","5","4","70","50","3","2","3","25","1","2","3","","","2","1","10","4","278.85"
"83","1718140470","4","1","1","3","2","3","3","","2","1","5","2","5","4","100","50","2","3","3","21","3","2","3","","","2","4","1","4","148.61"
"84","1637407709","4","3","2","4","4","3","2","1","2","4","3","4","5","3","80","100","3","2","2","25","3","3","4","","","2","","","4","372.99"
"86","1857924094","4","3","2","2","1","4","4","","2","4","5","3","4","2","4","50","1","2","3","22","4","2","3","","","3","1","6","4","198.81"
"87","2045867748","1","3","2","1","1","1","1","1","2","1","5","1","1","2","100","50","3","1","3","23","1","2","3","","","2","1","8","4","171.78"
"89","1836764294","1","1","2","3","3","3","2","1","2","3","2","5","5","2","80","0","3","2","3","27","6","4","3","","","2","3","3","4","217.16"
"91","1713679015","1","3","2","2","3","2","4","","2","6","5","4","5","4","100","50","3","2","3","17","2","2","1","","","2","","","4","381.27"
"92","820695515","1","2","3","1","1","1","1","1","2","1","6","2","4","2","100","51","3","2","3","28","6","2","4","","","2","","","4","249.5"
"93","494435940","2","1","2","3","3","2","1","1","2","3","3","1","3","2","75","25","2","2","3","28","8","2","4","","","2","","","4","277.67"
"94","373944087","1","1","1","2","2","1","2","1","2","3","2","2","4","2","70","25","3","1","3","24","7","3","4","","","2","","","4","549.11"
"96","1976023923","1","1","3","3","4","3","4","","2","5","2","6","5","4","80","20","3","3","3","22","7","2","4","","","2","","","4","365.68"
"97","1283370155","2","1","5","2","4","3","2","1","2","2","2","2","5","2","80","58","3","1","3","22","3","2","3","","","2","1","4","4","445.92"
"99","139629372","1","4","3","2","3","4","2","1","2","4","3","3","5","4","50","50","1","2","3","22","1","2","3","","","2","1","4","4","319.77"
"100","795029735","2","2","3","2","2","3","4","","2","3","5","4","5","3","100","0","3","2","2","25","4","3","3","","","2","2","3","4","252.48"
"101","1414703073","2","2","2","1","1","1","2","1","2","2","4","1","5","2","96","50","3","2","3","20","1","1","1","","","2","","","4","350.8"
"103","567423941","4","2","5","4","1","3","2","1","1","4","3","2","5","4","80","60","3","3","2","25","6","3","4","","","2","","","4","289.54"
"104","1355152548","2","2","3","1","3","1","3","","1","4","5","1","5","2","70","80","3","2","3","26","3","6","4","","","2","","","4","457.14"
"105","327216968","2","2","1","2","1","2","1","1","2","3","3","2","5","1","90","20","2","1","3","25","1","2","3","","","2","1","7","4","595.16"
"106","69595705","1","2","3","3","5","1","2","1","2","6","1","2","4","3","50","50","3","1","3","29","4","2","3","","","2","1","6","4","283.08"

